"teste1";"Demanda";"Area";"Volume";"EficienciaGlobal"
"438";"Agudo";"400";"400";"2000";"64.2065199404269"
"439";"Agudo";"400";"400";"3000";"75.4095647857025"
"440";"Agudo";"400";"400";"4000";"81.1682938937614"
"441";"Agudo";"400";"400";"5000";"86.52986927023"
"442";"Agudo";"400";"400";"6000";"89.5250703293066"
"443";"Agudo";"400";"400";"7000";"92.569915604832"
"444";"Agudo";"400";"400";"8000";"94.3736554691378"
"445";"Agudo";"400";"400";"9000";"95.9291742511997"
"446";"Agudo";"400";"400";"10000";"96.938606652325"
"447";"Agudo";"400";"400";"20000";"99.5035578355122"
"448";"Agudo";"400";"400";"30000";"99.5035578355122"
"449";"Agudo";"400";"400";"40000";"99.5035578355122"
"450";"Agudo";"400";"400";"50000";"99.5035578355122"
"451";"Agudo";"400";"500";"500";"43.7696508356776"
"452";"Agudo";"400";"500";"1000";"52.2919079927188"
"453";"Agudo";"400";"500";"2000";"64.9346351150091"
"454";"Agudo";"400";"500";"3000";"76.3362568260798"
"455";"Agudo";"400";"500";"4000";"82.1280820784379"
"456";"Agudo";"400";"500";"5000";"87.6220420321033"
"457";"Agudo";"400";"500";"6000";"90.5510508025815"
"458";"Agudo";"400";"500";"7000";"93.3807711401622"
"459";"Agudo";"400";"500";"8000";"95.10177064372"
"460";"Agudo";"400";"500";"9000";"96.7400297865299"
"461";"Agudo";"400";"500";"10000";"97.6998179712064"
"462";"Agudo";"400";"500";"20000";"99.5862981962601"
"463";"Agudo";"400";"500";"30000";"99.5862981962601"
"464";"Agudo";"400";"500";"40000";"99.5862981962601"
"465";"Agudo";"400";"500";"50000";"99.5862981962601"
"466";"Agudo";"400";"1000";"500";"44.3322852887639"
"467";"Agudo";"400";"1000";"1000";"53.185503888797"
"468";"Agudo";"400";"1000";"2000";"66.3081251034255"
"469";"Agudo";"400";"1000";"3000";"78.7026311434718"
"470";"Agudo";"400";"1000";"4000";"84.1138507363892"
"471";"Agudo";"400";"1000";"5000";"89.591262617905"
"472";"Agudo";"400";"1000";"6000";"92.2555022339897"
"473";"Agudo";"400";"1000";"7000";"95.0521264272712"
"474";"Agudo";"400";"1000";"8000";"96.5414529207347"
"475";"Agudo";"400";"1000";"9000";"97.9645871255999"
